date,서울특별시  (1100000000),부산광역시  (2600000000),대구광역시  (2700000000),인천광역시  (2800000000),광주광역시  (2900000000),대전광역시  (3000000000),울산광역시  (3100000000),세종특별자치시  (3600000000),경기도  (4100000000),강원도  (4200000000),충청북도  (4300000000),충청남도  (4400000000),전라북도  (4500000000),전라남도  (4600000000),경상북도  (4700000000),경상남도  (4800000000),제주특별자치도  (5000000000)
2008-01-01,"10,200,827","3,564,577","2,492,724","2,692,696","1,422,702","1,480,895","1,112,407",0,"11,292,264","1,508,575","1,519,587","2,018,537","1,855,772","1,919,000","2,673,931","3,225,255","560,618"
2009-01-01,"10,208,302","3,543,030","2,489,781","2,710,579","1,433,640","1,484,180","1,114,866",0,"11,460,610","1,512,870","1,527,478","2,037,582","1,854,508","1,913,004","2,669,876","3,250,176","562,663"
2010-01-01,"10,312,545","3,567,910","2,511,676","2,758,296","1,454,636","1,503,664","1,126,298",0,"11,786,622","1,529,818","1,549,528","2,075,514","1,868,963","1,918,485","2,689,920","3,290,536","571,255"
2011-01-01,"10,249,679","3,550,963","2,507,271","2,801,274","1,463,464","1,515,603","1,135,494",0,"11,937,415","1,536,448","1,562,903","2,101,284","1,874,031","1,914,339","2,699,195","3,308,765","576,156"
2012-01-01,"10,195,318","3,538,484","2,505,644","2,843,981","1,469,216","1,524,583","1,147,256","113,117","12,093,299","1,538,630","1,565,628","2,028,777","1,873,341","1,909,618","2,698,353","3,319,314","583,713"
2013-01-01,"10,143,645","3,527,635","2,501,588","2,879,782","1,472,910","1,532,811","1,156,480","122,153","12,234,630","1,542,263","1,572,732","2,047,631","1,872,965","1,907,172","2,699,440","3,333,820","593,806"
2014-01-01,"10,103,233","3,519,401","2,493,264","2,902,608","1,475,884","1,531,809","1,166,377","156,125","12,357,830","1,544,442","1,578,933","2,062,273","1,871,560","1,905,780","2,700,794","3,350,257","607,346"
2015-01-01,"10,022,181","3,513,777","2,487,829","2,925,815","1,472,199","1,518,775","1,173,534","210,884","12,522,606","1,549,507","1,583,952","2,077,649","1,869,711","1,908,996","2,702,826","3,364,702","624,395"
2016-01-01,"9,930,616","3,498,529","2,484,557","2,943,069","1,469,214","1,514,370","1,172,304","243,048","12,716,780","1,550,806","1,591,625","2,096,727","1,864,791","1,903,914","2,700,398","3,373,871","641,597"
2017-01-01,"9,857,426","3,470,653","2,475,231","2,948,542","1,463,770","1,502,227","1,165,132","280,100","12,873,895","1,550,142","1,594,432","2,116,770","1,854,607","1,896,424","2,691,706","3,380,404","657,083"
2018-01-01,"9,765,623","3,441,453","2,461,769","2,954,642","1,459,336","1,489,936","1,155,623","314,126","13,077,153","1,543,052","1,599,252","2,126,282","1,836,832","1,882,970","2,676,831","3,373,988","667,191"
2019-01-01,"9,729,107","3,413,841","2,438,031","2,957,026","1,456,468","1,474,870","1,148,019","340,575","13,239,666","1,541,502","1,600,007","2,123,709","1,818,917","1,868,745","2,665,836","3,362,553","670,989"
2020-01-01,"9,668,465","3,391,946","2,418,346","2,942,828","1,450,062","1,463,882","1,136,017","355,831","13,427,014","1,542,840","1,600,837","2,121,029","1,804,104","1,851,549","2,639,422","3,340,216","674,635"
2021-01-01,"9,509,458","3,350,380","2,385,412","2,948,375","1,441,611","1,452,251","1,121,592","371,895","13,565,450","1,538,492","1,597,427","2,119,257","1,786,855","1,832,803","2,626,609","3,314,183","676,759"
2022-01-01,"9,428,372","3,317,812","2,363,691","2,967,314","1,431,050","1,446,072","1,110,663","383,591","13,589,432","1,536,498","1,595,058","2,123,037","1,769,607","1,817,697","2,600,492","3,280,493","678,159"
